,English, Odia
Controversy,ବିବାଦୀୟ ବ୍ୟକ୍ତିତ୍ବ 
Coaching,ତାଲିମଦାତା
Records,ବିଶ୍ଵ ରେକର୍ଡ 
Personal life,ବ୍ୟକ୍ତିଗତ ଜୀବନ 
Bishan Singh Bedi,ବିଶନ ସିଂ ବେଦି
Sources,ଆଧାର 
External links,ବାହ୍ୟ ଆଧାର 
Cast,ମୁଖ୍ୟ ଅଭିନୟ 
Music,ସଙ୍ଗୀତ 
Teesri Kasam,ତିସରି କସମ 
Awards,ପୁରସ୍କାର ସମୂହ 
References,ଆଧାର 
Further reading,ଆହୁରି ପଠନ 
Recipients,ପୁରସ୍କୃତ ବ୍ୟକ୍ତି ଙ୍କ ସାରଣୀ 
Awards and nominations,ପୁରସ୍କାର ସମୂହ ଓ ମନୋନୀତ 
Audiobooks,ଶ୍ରବଣ ପୁସ୍ତକ ସମୂହ 
Biographies,ଆତ୍ମଜୀବନୀ ସମୂହ 
Notes,ନୋଟ ସମୂହ 
Early life,ସଂକ୍ଷିପ୍ତ ଜୀବନୀ 
Direction,ନିର୍ଦେଶକ ଭାବେ ଗୁଲଜାର 
Poetry,କବିତାବଳୀ 
Ravi Shastri in 2015,2015 ରେ ରବି ଶାସ୍ତ୍ରୀ 
Filmography,ଫିଲ୍ମୋଗ୍ରାଫୀ 
As director,ନିର୍ଦେଶକ ଭାବେ 
As actor,ଅଭିନେତା ଭାବେ 
Philanthropy,ଦାତବ୍ୟତା 
Early and personal life,ବ୍ୟକ୍ତିଗତ ଜୀବନ 
Career,ଫିଲ୍ମ ଅଭିନୟ ଜୀବନ 
Singing career,ଗାୟକ ହିସାବ ରେ ନାନା 
Movie direction,ଫିଲ୍ମ ନିର୍ଦେଶନା 
Awards and recognition,ପୁରସ୍କାର ଓ ସମ୍ମାନ 
Architecture,ବାସ୍ତୁକଳା
Festivals,ପର୍ବ-ପର୍ବାଣୀ
See also,ଅଧିକ ଦେଖନ୍ତୁ
List of temples in Bhubaneswar,ଭୁବନେଶ୍ୱରରେ ଥିବା ମନ୍ଦିର ତାଲିକା
Gallery,ଗ୍ୟାଲେରୀ
Yameshwar Temple,ଯମେଶ୍ୱର ମନ୍ଦିର
Early career,କ୍ରିକେଟ ଜୀବନୀ 
International cricket,ଅନ୍ତର୍ଜାତିକ କ୍ରିକେଟ ରେ ମୋରେ
1990 and after,କ୍ରିକେଟ ପାଇଁ ଅନ୍ୟ ଅବଦାନ 
The story,ସୁଦାମା ଙ୍କ କାହାଣୀ 
Adaptations,ଅଧିଗୃହିତ ବିଷୟବସ୍ତୁ 
Biography,ସଂକ୍ଷିପ୍ତ ଜୀବନୀ 
Captaincy and overseas wins,ଅଧିନାୟକତ୍ଵ ଓ ବିଦେଶ ରେ ବିଜୟ
Post retirement,ଅବସର ପରେ ଅବଦାନ 
Career statistics,ପରିସଙ୍ଖ୍ୟାନ
Test centuries,ଟେଷ୍ଟ ଶତକ 
,ପୁରସ୍କାର ସମୂହ ଆଉ ସମ୍ମାନ 
Characteristics,ବର୍ଣନା
Yama holding a danda,ଦଣ୍ଡ ଧରିଛନ୍ତି ଯମ
Point targets,ପଏଣ୍ଟ ଟାର୍ଗେଟ
Surgical strike,ସର୍ଜିକାଲ ଆକ୍ରମଣ
Documentaries,ବୃତ୍ତଚିତ୍ର
Publications,ପ୍ରକାଶନ
E. aureum with larger leaves,ମନି ପ୍ଲାଣ୍ଟ ପତ୍ର
Epipremnum aureum,ମନି ପ୍ଲାଣ୍ଟ
Books,ବହି
Fragrance of Peace (2010),ଫ୍ରାଗ୍ରାନ୍ସ ଅଫ ପିସ (୨୦୧୦)
V. P. Singh,ବିଶ୍ୱନାଥ ପ୍ରତାପ ସିଂହ
Early life and education,ପ୍ରାରମ୍ଭିକ ଜୀବନ ଓ ଶିକ୍ଷା
Political career,ରାଜନୈତିକ ଜୀବନ
H. D. Deve Gowda,ଏଚ.ଡି. ଦେବଗୌଡ଼ା
Playing career,ଖେଳ ଜୀବନ 
Coaching career,ମାଦନଲାଲ ଙ୍କ କୋଚିଙ୍ଗ ଅବଦାନ 
Acting career,ଅଭିନେତା ଭାବେ ମଦନଲାଲ
Theatre journey,ମଞ୍ଚାଭିନୟ 
Movie career,ଫିଲ୍ମ ଅଭିନୟ ଜୀବନ 
Palekar in 2016,2016 ରେ ଅମୋଲ ପାଲେକର 
Published works,ପ୍ରକାଶିତ କାମ
"Tiger dance at Pilikula,India",ଭାରତ ର ପାଳିକୁଲା ଠାରେ ବାଘ ନାଚ ର ଦୃଶ୍ୟ 
India,ଭାରତ ରେ ବାଘନାଚ 
Nepal,ନେପାଲ 
Japan,ଜାପାନ 
Karma Naach,କରମା ନୃତ୍ୟ
Salient features,ଲେଖା ର ସାର କଥା 
Life,ଜୀବନୀ
Later life,ପରବର୍ତ୍ତୀ ଜୀବନ
Durgawati Devi,ଦୁର୍ଗାବତୀ ଦେବୀ
Karlapat Wildlife Sanctuary,"କର୍ଳାପାତ୍ ଅଭୟାରଣ୍ୟ , କଳାହାଣ୍ଡି"
Geography,ଭୌଗୋଳିକ ସ୍ଥିତି 
Location,ଅବସ୍ଥିତି 
Places of interest,ଦର୍ଶନୀୟ ସ୍ଥାନ ସବୁ 
Koili Ghoghar,କୋଇଲି ଘୁଘର
Karsan Ghavri,କର୍ସନ  ଘାବ୍ରି
Other services,ଅନ୍ୟ ଅବଦାନ 
Olympic gold quest,ଅଲିମ୍ପିକ ସ୍ବରନା ପାଇଁ ଉଦ୍ୟମ 
Prakash Padukone,ପ୍ରକାଶ ପାଦୁକୋନ 
History,ଇତିହାସ 
Railway Organization,ରେଳ ଅନୁଷ୍ଠାନ 
Doubling,ଲାଇନ ଦୋହରିକରଣ
Electrification,ବିଦ୍ୟୁତିକରଣ  
Amenities,ଉପଲବ୍ଧ ସୁବିଧା 
Passenger movement,ଯାତ୍ରୀ ଗମନାଗମନ 
Awards and honors,ପୁରସ୍କାର ଓ ସମ୍ମାନ 
Arjuna Award – 1999,ଅର୍ଜୁନ ପୁରସ୍କାର -୧୯୯୯
TEST cricket,ଟେଷ୍ଟ କ୍ରିକେଟ ପରିସଖ୍ୟାନ
Player of The Match honors,ଫ୍ଲାୟାର ଅଫ ଦି ମେଚ ପୁରସ୍କାର 
Cricket career,କ୍ରିକେଟ ଜୀବନ 
Test Matches,ଟେଷ୍ଟ ମେଚ ପ୍ରଦର୍ଶନ 
10 Wickets in a Match:,ମେଚ ରେ ୧୦ ୱିକେଟ :
ODI Matches,ଏକଦିବସୀୟ ମେଚ ପ୍ରଦର୍ଶନ 
TV career,ଟିଭି ଅଭିନୟ 
Bollywood films,ହିନ୍ଦୀ ଫିଲ୍ମ ସମୂହ 
TV series,ଟିଭି ସିରିୟାଲ ସମୂହ 
Robbery,ଚୋରୀ କାହାଣୀ
Arrests,ଗିରଫଦାରୀ
Kakori trial, କାକୋରୀ କାଣ୍ଡର ବିଚାରଣ
Final verdict,ଶେଷ ଶୁଣାଣି
Paras Mhambrey,"ପାରସ ମାହମ୍ବ୍ରେ, କ୍ରିକେଟର "
Obituaries,ଦେହାନ୍ତ ଉପରେ
Selected publications,ନିର୍ବାଚିତ ରଚନା
Other sources,ବାହାର ଲିଙ୍କ
Background,ପୃଷ୍ଠଭୂମୀ
Bangladesh Liberation War,ବଙ୍ଗଳାଦେଶ ମୁକ୍ତିଯୁଦ୍ଧ
Legend,କିମ୍ବଦନ୍ତୀ
Reception,ଲୋକମତ 
Critical response,ସମାଲୋଚନାତ୍ମକ ଦୃଷ୍ଟିକୋଣ 
Accolades,ସମ୍ମାନ ଓ ପୁରସ୍କାର 
Film festival screenings,ଅନ୍ତର୍ଜାତିକ ଫିଲ୍ମ ମହୋତଶବ ରେ ରାବଣ 
Character Map,ଚରିତ୍ରାଭିନୟ ଓ ପୌରାଣିକ ରବଣ କଥା ର ପ୍ରତିପକ୍ଷ ଚରିତ୍ର ସବୁ 
Raavanan,ରାବଣ ଫିଲ୍ମ 
Etymology,ବ୍ୟୁପତ୍ତି ତତ୍ଵ 
Abduction of Draupadi,ଦ୍ରୌପଦୀ ହରଣ 
The first boon from Shiva,ଭଗବାନ ଶିବ ଙ୍କ ପ୍ରଥମ ଆଶୀର୍ବାଦ 
In the Kurukshetra war,କୁରୁଷେତ୍ର ଯୁଦ୍ଧ ରେ 
Arjuna's revenge,ଅର୍ଜୁନ ଙ୍କ ପ୍ରତିଶୋଧ 
Aftermath,ପରବର୍ତୀ ଘଟଣା 
Notes and references,ଟିପ୍ପଣୀ ଓ ଆଧାର 
Going to Hastinapur,ହସ୍ତିନାପୁର ଗମନ 
Avatar of Lord Shiva,ଶିବ ଙ୍କ ଅବତାର 
Role in the Kurukshetra war,କୁରୁକ୍ଷେତ୍ର ଯୁଦ୍ଧ ରେ ଅଂଶଗ୍ରହଣ 
Siding with the Kauravas,କୌରବ ଙ୍କ ପକ୍ଷ ରେ ଦ୍ରୋଣ ଓ ଅଶ୍ଵଷ୍ଠମା  
Death of Drona,ଦ୍ରୋଣ ଙ୍କ ମୃତ୍ୟୁ 
Narayanastra,ନାରାୟଣାସ୍ତ୍ର 
Ashwatthama,ଅଶ୍ଵଷ୍ଠମା
Aftermath of the Attack,ଆକ୍ରମଣ ପରବର୍ତୀ ଘଟଣା 
Construction,ନିର୍ମାଣ 
Usage,ବ୍ୟବହାର 
Playing style,ବାଦନ ଶୈଳୀ 
Variants,ପ୍ରକାରଭେଦ 
Madal Drums Tabla Mridangam,ମାଦଳ ଡ୍ରାମ ତବଲା  ମୃଦଙ୍ଗମ
Course,ଗତିପଥ 
Tributaries,ଶାଖାନଦୀ 
Hundru Falls,ହୁନ୍ଦୁରୁ ଜଳପ୍ରପାତ
Flood,ବନ୍ୟା 
Completed Chandil Dam,ଚାନ୍ଦିଳ ନଦୀବନ୍ଧ 
Kirtania port,କୀର୍ତନିଆ ବନ୍ଦର 
Film,ସୁବରଣରେଖା ଉପରେ ଫିଲ୍ମ 
Remake,ପୁନର୍ନିର୍ମିତ 
Khamoshi,ଖାମୋଶି
Murder,ଶୟଦ ମୋଦୀ ଙ୍କ ହତ୍ୟା 
Memorial tournament,ସ୍ମାରକୀ 
Movie,ଚଳଚିତ୍ର 
Taxonomy,ବର୍ଗାକରଣ
L. chinensis flowers,ଲିଚୁ ଫୁଲ 
Cultivation and uses,ଲିଚୁ ଚାଷ ଓ ବ୍ୟବହାର 
The Mauritius cultivar,ମରିସସ ରେ ଲିଚୁ ବଗିଚା 
China-3 lychee fruit,ଚୀନ ର ଲିଚୁ 
Appearance in other versions,ଭିନ୍ନ ବର୍ଣନା ଅନୁସାରେ ମନ୍ଥରା 
Laddus packed for a wedding,ବିବାହ ଉତ୍ଶବ ପାଇଁ ପ୍ରସ୍ତୁତ ଲଡୁ 
Laddus,ବୁନ୍ଦି ଲଡୁ 
Composition,ପ୍ରସ୍ତୁତି ବିଧି 
Boondi laddu,ବୁନ୍ଦି ଲଡୁ 
Besan laddu,ବେସନ ଲଡୁ 
Coconut laddoo,ନଡିଆ ଲଡୁ 
Malai laddu,ମଲାଇ ଲଡୁ 
Use,ବ୍ୟବହାର 
Cultural references,ସଂସୃତି ସହ ଲଡୁ ର ସଂଯୋଗ 
Facility,ସୁବିଧା ସୁଯୋଗ ଓ ଆଧୂନିକୀକରଣ 
About the college,ଗଙ୍ଗାଧର ମେହେର କଲେଜ ବାବଦ ରେ 
Admissions,ଏଡମିସନ
Demography,ଆବାଦି
Education,ଶିକ୍ଷ୍ୟା ବ୍ୟବସ୍ଥା 
Anchal College Padampur,"ଅଞ୍ଚଲ କଲେଜ , ପଦ୍ମପୁର "
Politics,ରାଜନୀତି 
Culture,ସଂସ୍କୃତି 
Miscellaneous,ଦର୍ଶନୀୟ ପର୍ଯ୍ୟଟକ ସ୍ଥଳୀ 
Nearby Spiritual Centres:,"ପଦ୍ମପୁର ନିକଟ ରେ ନୃଶିଙ୍ଘନାଥ(୩୫ କିଲୋମିଟର ), ହରିଶଙ୍କର( ୪୫ କିଲୋମିଟର ), ପାଟରା ବନ୍ଧ( ୮୫ କିଲୋମିଟର) କିଙ୍କାରି ବନ୍ଧ(୭୮ କିଲୋମିଟର) ଦେବଦରାହ ( ୨୫ କିଲୋମିଟର )ଆଦି ପ୍ରକୃତିକ ସୌନ୍ଦଜ୍ୟ ଭାରା ପର୍ଯ୍ୟଟନ ସ୍ଥଳୀ ସବୁ ରହିଛି ।  "
Padmapur,ପଦ୍ମପୁର ( ରାଜବୋଡ଼ାସମ୍ବର) 
Death,ମୃତ୍ୟୁ 
Mythology,ପୌରଣିକ ତଥ୍ୟ 
Bio-diversity,ଜ୍ୟେବ  ବିବିଧତା 
Katyayini,"କାତ୍ୟାୟିନୀ,ନବଦୁର୍ଗା ଙ୍କ ଏକ ଅବତାର "
Worship,ଆରାଧନା 
Temples,ମୁଖ୍ୟ ମନ୍ଦିର 
Port development,ବନ୍ଦର ଉନ୍ନୟନ 
Rules,ନିୟମ ସବୁ 
Mohan Choti,"ମୋହନ ଚୋଟି, ହାସ୍ୟାଭିନେତା"
Plot,କାହାଣୀ ର ସାରାଂଶ 
Sunil Dutt as Gopi/ Gopinath,'ଗୋପୀ' ଭୂମିକା ରେ ସୁନୀଲ ଦତ୍ତ 
Nutan as Radha/Radha Devi,'ରାଧା' ଭୂମିକିଆ ରେ ନୂତନ
Jamuna as Gowri,'ଗୌଡ଼ିୟ ' ଭୂମିକା ରେ ଯମୁନା 
Pran as Radha's uncle,'ରାଧା ଙ୍କ ମାମୁଁ' ଭୂମିକା ରେ ପ୍ରାଣ
Soundtrack,ଗୀତ ଓ ସଂଗୀତ 
Final,ଫାଇନାଲ 
Participating countries,ଅଂଶଗ୍ରହଣକାରୀ ଦେଶ ସମୂହ 
Venue,ପ୍ରାଙ୍ଗଣ 
Marketing,॰ବ୍ୟବସାୟିକରଣ 
Emblem,ସଂକେତ ଚିତ୍ର 
Broadcasting,ପ୍ରସାରଣ 
Television,ଟେଲିଭିଜନ  ଏହି ପ୍ରତୋଗୀତା କୁ ବିଶ୍ୱବ୍ୟାପି ଲୋକ ମାନେ ଦେଖିପାରିବାର ବ୍ୟବସ୍ଥା କରାଯାଇଛି । ପୃଥିବୀ ର ବିଭିନ୍ନ ଅଞ୍ଚଳ ପାଇଁ ବିଭିନ୍ନ କ୍ରିଡା ଚାନେଲ ଜରିଆ ରେ ଏହାର ଖେଳ ସବୁ ର ଜୀବନ୍ତ ପ୍ରସାରଣ କରାଯାଉଛି । 
Schedule,ଖେଳସୁଚି
Group stage,ଗ୍ରୁପ ସ୍ତର 
Pool points system:,ପଏଣ୍ଟନିୟମ 
Bowling records,ବୋଲିଂ ରେକର୍ଡ 
Most wickets,ସର୍ବାଧିକ ୱିକେଟ 
Anil Kumble – 619 wickets,ଅନିଲ କୁମ୍ବଲେ - ୬୧୯ ୱିକେଟ 
Best career economy rate,ଜୀବନରେ ଶ୍ରେଷ୍ଠ ବୋଲିଂ ହାର ( Economy) 
Bapu Nadkarni – 1.63,ବାପୁ ନାଦକର୍ଣୀ - ୧.୬୩
Best career strike rate,ଜୀବନ ରେ ଶ୍ରେଷ୍ଠ ୱିକେଟ ନେବା ହାର 
Ravichandran Ashwin – 49.4,ରବିଚନ୍ଦ୍ର ଅଶ୍ଵିନ - ୪୯.୪ 
ODI records,ଏକଦିବସୀୟ ଅନ୍ତର୍ଜାତିକ ରେକର୍ଡ ସବୁ 
Overall,ସାମଗ୍ରିକ 
Test records,ଟେଷ୍ଟ ରେକର୍ଡ ସବୁ 
Team records,ଦଳଗତ ରେକର୍ଡ 
Highest match aggregate runs,ମେଚ ରେ ସର୍ବାଧିକ  ରନ 
Lowest match aggregate runs,ମେଚ ରେ ସର୍ବନିମ୍ନ ରନ 
Largest Victories,ସର୍ବବୃହତ ବିଜୟ
Smallest Victories,କ୍ଷ୍ଯୁଦ୍ରତମ ବିଜୟ
Individual records,ବ୍ୟକ୍ତିଗତ ରେକର୍ଡ 
Most Runs in an inning (Test),ସର୍ବାଧିକ ରଣ ( ଟେଷ୍ଟ)
Virender Sehwag – 319,ବିରେନ୍ଦ୍ର ସହବାଗ -୩୧୯
Most matches as captain,ଅଧିନାଯକ ଭାବେ ସର୍ବାଧିକ ମେଚ 
Most Mathches,ସର୍ବାଧିକ ମେଚ 
Batting records,ବେଟିଙ୍ଗ ରେକର୍ଡସବୁ 
Most career runs,ସର୍ବାଧିକ ରନ 
Highest score,ସର୍ବାଧିକ ବ୍ୟକ୍ତିଗତ  ସ୍କୋର 
Best debut score,ସର୍ବୋତ୍ତମ ପଦାର୍ପଣ ସ୍କୋର 
Partnership records,ଭାଗୀଦାରୀ ରେକର୍ଡ ସବୁ 
Highest partnerships by runs,"ସର୍ବବୃହତ ଭାଗୀଦାରୀ , ରଣ ହିସାବ ରେ "
The touring Indian team,୧୯୩୨ ମସିହା ରେ ଗୋଟିଏ ଅଣ ଅନୁଷ୍ଠାନିକ  ଟେଷ୍ଟ ଖେଳିବାକୁ ଯାଇଥିବା ଭାରତୀୟ କ୍ରିକେଟ ଦଳ 
Only Test match,ଏକମାତ୍ର ଟେଷ୍ଟ 
Annual reviews,ବାର୍ଷିକ ବିବରଣୀ 
Group D,ଗ୍ରୁପ  D
Group E,ଗ୍ରୁପ  E
Super 8s,ସୁପର ୮ ସ୍ତର 
Group F,ଗ୍ରୁପ  F
Semi-finals,ସେମିଫାଇନାଲ 
Records and statistics,ରେକର୍ଡ ଓ ପରିସଙ୍ଖ୍ୟନ
Rules and regulations,ନୀତି ନିୟମ ସବୁ 
ICC World T20 2007 BAN vs RSA,୨୦୦୭ ରେ ବାଂଲାଦେଶ ଓ ଦକ୍ଷିଣ ଆଫ୍ରିକା ଖେଳ 
Qualification,ଯୋଗ୍ୟତା 
Squads,ଦଳଗୁଡିକ 
Group Stages,ଗ୍ରୁପ ସ୍ତର 
Group A,ଗ୍ରୁପ A 
Group B,ଗ୍ରୁପ B 
Group C,ଗ୍ରୁପ C
Super Eight stage,ସୁପର୮ ସ୍ତର  
Group 1,ଗ୍ରୁପ  1
Group 2,ଗ୍ରୁପ  2
Statistics,ପରିସଙ୍ଖ୍ୟାଁନ 
2012 ICC World Twenty20,2012 ICC T20 ବିଶ୍ଵ କପ
Fixtures and results,ଖେଳ ସୂଚୀ ଓ ଫଳାଫଳ 
Warm-up matches,ପ୍ରସ୍ତୁତି ମେଚ 
Venues,ପ୍ରାଙ୍ଗଣ ସବୁ 
Umpires,ଆମ୍ପୟର
Quarter-finals,କ୍ଵାଟର ଫାଇନାଲ 
Controversies,ବିବାଦୀୟ ପରିସ୍ଥିତି 
References and notes,ଆଧାର 
Format,ଫର୍ମାଟ 
List of qualified teams,ଅଂଶ ଗ୍ରହଣ କାରୀ ଦଳ ର ସୂଚୀ 
Preparations,ପ୍ରସ୍ତୁତି 
Pakistan loses co-host status,ପାକିସ୍ତାନ ର ସହ ଆୟୋଜକ ହେବାର ଯୋଗ୍ୟତା ରଦ୍ଦ 
Song,ଗାନ 
Mascot,ମାସ୍କଟ
Opening ceremony,ଉଦଘାଟନ ସମାରୋହ
Prize money,ପୁରସ୍କାର ରାଶି 
Bangladesh,ବାଂଲାଦେଶୀ ସମୋସା 
Pakistan,ପାକିସ୍ଥାନୀ ସମୋସା 
Maldives,ମାଲଦ୍ଵୀପ ସମୋସା 
Central Asia,କେନ୍ଦ୍ର ଏସିଆ ସମୋସା 
Uyghur-style samsas (samosas),ବିଘୁର ପ୍ରକାର ସମୋସା 
Southeast Asia,ଦକ୍ଷିଣ ପୂର୍ବ ଏସିଆ ସମୋସା 
Burma,ବର୍ମା ସମୋସା 
Horn of Africa,ଆଫ୍ରିକୀୟ ସମୋସା 
Indonesia,ଇନ୍ଦୋନେଶିୟା ସମୋସା 
Israel,ଇସ୍ରାଏଲ ର ସମୋସା 
Portuguese-speaking regions,ପର୍ତୁଗୀଜ ଅଞ୍ଚଳ ର ସମୋସା 
Goan chamuças,ଗୋଆ ର ଛାମୁକାଶ 
English-speaking regions,ପୂର୍ବ ଇଂରେଜ ଉପନିବେଶୀୟ ଦେଶ ରେ ସମୋସା 
Name variation,ନାମ ପ୍ରକାରଭେଦ 
Vegetable Samosa,ଭେଜିଟେବୁଲ ସମୋସା 
Regional varieties,ଅଞ୍ଚଳିକ ବିବିଧତା 
South Asia,ଦକ୍ଷିଣ ଏସିଆ 
Songs,ସଂଗୀତ
Contents,ଅଧ୍ୟେୟ ସମୂହ 
Translations,ଅନୁବାଦ ସାମୁହ 
Route,ଗତିପଥ 
Incidents,ବିଶେଷ ଘଟଣା 
ISPAT EXPRESS,ଇସ୍ପାତ ଏକ୍ସପ୍ରେସ 
Important halts,ମୁଖ୍ୟ ରହଣି 
Stoppings,ମୁଖ୍ୟ ରହଣି 
Slip Route,ବିଚ୍ଛିନ୍ନ ଗତିପଥ 
Map gallery,ମାନଚିତ୍ର ସମୂହ 
Etmology,ବ୍ୟୁପତ୍ତି 
Routes,ଗତିପଥ ଗୁଡିକ 
19027 Vivek Express,୧୯୦୨୭ ବିବେକ ଏକ୍ସପ୍ରେସ ଟ୍ରେନ 
List of Vivek Express Trains,ବିବେକ ଏକ୍ସପ୍ରେସ ଟ୍ରେନ ର ତାଲିକା 
Okha - Tuticorin Vivek Express,ଓଖା - ତୁତିକୋରିନ ବିବେକ ଏକ୍ସପ୍ରେସ 
Future plans,ଭବିଷ୍ୟତ ଯୋଜନା 
Route and frequency,ଯାତ୍ରାପଥ
Coach Composite,କୋଚ 
External Links,ବାହ୍ୟ ସଂଯୋଗ 
Jammu Tawi railway station,ଜାମୁ ତୱି ରେଳ ଷ୍ଟେସନ
Administration,ଅବସ୍ଥିତି 
Services,ସେବାସମୂହ 
Kanniyakumari railway station,କନ୍ୟାକୁମାରୀ ରେଳ ଷ୍ଟେସନ
History and etymology,ଇତିହାସ ଓ ବ୍ୟୁପତ୍ତି 
Arrival and departure,ସମୟ ସାରଣୀ 
Route and halts,ଯାତ୍ରାପଥ ଓ ରହଣି 
Future prospects,ଭବିଷ୍ୟତ ସମ୍ଭାବନା 
Jhelum Express Route map,ଝେଲମ ଏକ୍ସପ୍ରେସ ର ଯାତ୍ରାପଥ ର ମାନଚିତ୍ର 
Number and nomenclature,ସଂଖ୍ୟା ଓ ଯାତ୍ରା ସାରଣୀ 
Coach composite,ବଗି ବିବରଣୀ 
Railway reorganisation,ରେଳବାଇ ପୁନଃ ସଂଗଠନ 
Khurda Balangir rail link,ଖୋର୍ଦ୍ଧା ବଲାଙ୍ଗିର ରେଳ ଲିଙ୍କ 
Important Halts,ବିଶିଷ୍ଟ ରହଣିସ୍ଥଳ 
Timings,ସମୟ ସାରଣୀ 
Overview,ବିବରଣୀ 
Detail of logo and livery,.ରାଜଧାନୀ ଏକ୍ସପ୍ରେସ ବଗି 
Rolling stock,ରୋଲିଙ୍ଗ ଷ୍ଟକ ବଗି 
Rajadhani Express,ରାଜଧାନୀ ଏକ୍ସପ୍ରେସ ଟ୍ରେନ ସମୂହ ( ଶ୍ରୀଲଙ୍କା )
Features,ସବିଶେଷ ତଥ୍ୟ
Rengali irrigation project,ଜଳସେଚନ 
Environmental impact,ପରିବେଶ ଉପରେ ପ୍ରଭାବ 
Chicken fries from Burger King,ବର୍ଗର କିଙ୍ଗ ପ୍ରସ୍ତୁତ ଚିକେନ ଫ୍ରାଇ 
Conception,ମୂଳ ଲକ୍ଷ୍ୟ 
Burj Khalifa,"ବୁର୍ଜ ଖଲିଫା, ଦୁବାଇ "
History of height increases,ଉତ୍ଛ ନିର୍ମାଣ ସବୁ ର ଇତିହାସ 
Performance,କାର୍ଯ୍ୟ ପ୍ରଦର୍ଶନ 
